"","Code","Order","Family","Genus","Species","Authority","Comment"
"1","ABTH","Malvales","Malvaceae","Abutilon","theophrasti","Medik.","Velvetleaf, http://www.omafra.gov.on.ca/english/crops/facts/ontweeds/velvetleaf.htm"
"2","ACRH","Malpighiales","Euphorbiaceae","Acalypha","rhomboidea","L.","Three Seeded mercury , http://www.omafra.gov.on.ca/english/crops/facts/ontweeds/threeseed_mercury.htm"
"3","AGAL","Asterales","Asteraceae","Ageratina","altissima","(L.) R.M. King & H. Rob.","White Snakeroot, http://www.omafra.gov.on.ca/english/crops/facts/ontweeds/white_snakeroot.htm"
"4","AGST","Poales","Poaceae","Agrostris","stolonifera","L.",NA
"5","AMAR","Asterales","Asteraceae","Ambrosia","artemisiifolia","L.","https://plants.usda.gov/home/plantProfile?symbol=AMAR2"
"6","AMBJ",NA,NA,NA,NA,NA,NA
"7","AMRE","Caryophyllales","Amaranthaceae","Amaranthus","retroflexus","L.","Redroot Amaranth"
"8","AMSP","Lamiales","Scrophulariaceae","Verbascum","thaspus","L.","Common Mullein, http://www.omafra.gov.on.ca/english/crops/facts/ontweeds/common_mullein.htm"
"9","ANGE","Poales","Poaceae","Andropogon","gerardii","Vitman",NA
"10","BAVU",NA,NA,NA,NA,NA,NA
"11","CAREX","Poales","Cyperaceae","Carex","spp.","L.","Could not identify to species-level due to a lack of flowers from sedges"
"12","CELO","Poales","Poaceae","Cenchrus","longspinus","(Hack.) Fern.","Long-Spined Sandbur, https://inspection.canada.ca/plant-health/seeds/seed-testing-and-grading/seeds-identification/cenchrus-longispinus/eng/1475881458633/1475881458975"
"13","CHAL","Caryophyllales","Amaranthaceae","Chenopodium","album","L.","https://plants.usda.gov/home/plantProfile?symbol=CHAL7"
"14","CHSE","Malpighiales","Euphorbiaceae","Euphorbia","serpyllifolia","Pers.","Thyme Leaved Spurge"
"15","CIIN",NA,NA,NA,NA,NA,NA
"16","CISP",NA,NA,NA,NA,NA,NA
"17","CIXX","Asterales","Asteraceae","Cirsium","spp.",NA,"Thistle"
"18","COCA","Asterales","Asteraceae","Conzya","canadensis","L.","Taxonomic synonym for Erigeron canadensis (code: ERCA)"
"19","COLA","Asterales","Asteraceae","Coreopsis","lanceolata","L.","Lanceleaf tickseed"
"20","DACA","Apiales","Apiaceae","Daucus","carota","L.","Queen annes lace"
"21","DECA","Fabales","Fabaceae","Desmodium","canadense","(L.) DC.","Showy tick-trefoil"
"22","ECCR","Poales","Poaceae","Echinochloa","crus-galli","(L.) Beauv","Barnyard Grass"
"23","ERCI","Poales","Poaceae","Eragrostis","cilianensis",NA,NA
"24","FRVE","Rosales","Rosaceae","Fragaria","vesca","L.","Woodland Strawberry"
"25","HEGI","Asterales","Asteraceae","Helianthus","giganteus","L.","Tall sunflower"
"26","HEHE","Asterales","Asteraceae","Heliopsis","helianthoides","L.","http://www.illinoiswildflowers.info/prairie/plantx/fs_sunflowerx.htm"
"27","HESP","Asterales","Asteraceae","Helianthus","Spp.","L.",NA
"28","HETU",NA,NA,NA,NA,NA,NA
"29","HYPE","Malpighiales","Hypericaceae","Hypericum","perferatum","L.","St.Johns Wort"
"30","LACO","Asterales","Asteraceae","Lapsana","communis","L.","Nipplewort"
"31","LIVU","Lamiales","Plantaginaceae","Linaria","vulgaris","Mill.",NA
"32","LOPE","Poales","Poaceae","Lolium","perenne","L.",NA
"33","MEAR","Lamiales","Lamiaceae","Mentha","arvensis","L.","Wild mint"
"34","MELU","Fabales","Fabaceae","Medicago","lupulina","L.","Black Medick"
"35","MESA","Fabales","Fabaceae","Medicago","sativa","L.","Alfalfa"
"36","MOAL",NA,NA,NA,NA,NA,NA
"37","MOFI","Lamiales","Lamiaceae","Monardo","fistulosa","L.","Wild Bergamot"
"38","NECA","Lamiales","Lamiaceae","Nepeta","cataria","L.","Catnip"
"39","OCRI",NA,NA,NA,NA,NA,NA
"40","OEBI","Myrtales","Onagraceae","Oenothera","biennis","L.",NA
"41","OXST","Geraniales","Oxalidaceae","Oxalis","stricta","L.","https://plants.usda.gov/home/plantProfile?symbol=OXST"
"42","PACA","Cyperales","Gramineae","Panicum","capillare","L.",NA
"43","PAMI","Cyperales","Gramineae","Panicum","milliaceum","L.","https://plants.usda.gov/home/plantProfile?symbol=PAMI2"
"44","PEMU","Caryophyllales","Polygonaceae","Persicurla","muculosa","Gray","Ladys Thumb"
"45","PLMA","Lamiales","Plantaginaceae","Plantago","major","L.","Common plantain"
"46","POAR","Rosales","Rosaceae","Potentilla","argentea","L.","Silverleaf cinquefoil, http://www.omafra.gov.on.ca/english/crops/facts/ontweeds/silvery_cinquefoil.htm"
"47","PONO","Rosales","Rosaceae","Potentilla","norvegica","L.","Rough cinquefoil"
"48","POOL","Caryophyllales","Portulacaceae","Portulaca","oleracea","L.","https://plants.usda.gov/home/plantProfile?symbol=POOL"
"49","PRVU","Lamiales","Lamiaceae","Prunella","vulgaris","L.","Heal all"
"50","PYMU","Lamiales","Lamiaceae","Pycnanthemum","muticum","(Michx.) Pers.",NA
"51","PYTE","Lamiales","Lamiaceae","Pycnanthemum","tenuifolium","Schrad.",NA
"52","RHTY","Sapindales","Anacardiaceae","Rhus","typhina","L.","https://plants.usda.gov/home/plantProfile?symbol=RHTY"
"53","RUCR","Caryophyllales","Polygonaceae","Rumex","crispus","L.","Curled Dock"
"54","RUHI","Asterales","Asteraceae","Rudbeckia","hirta","L.",NA
"55","SEVI","Poales","Poaceae","Setaria","viridis","L.","Green Foxtail"
"56","SIAL","Brassicales","Brassicaceae","Sinapis","alba","L.","White Mustard"
"57","SIAR",NA,NA,NA,NA,NA,NA
"58","SIPE","Asterales","Asteraceae","Silphium","perfoliatum","L.",NA
"59","SONI","Solanales","Solanaceae","Solanum","nigra","L.","Black Nightshade"
"60","SONU","Poales","Poaceae","Sorghastrum","nutans","(L.) Nash",NA
"61","SOSP","Asterales","Asteraceae","Solidago","canadensis","L.","Originally labelled as ""Solidago spp."" but confirmed as Soligado canadensis based on surveys done in late August 2021"
"62","TAOF","Asterales","Asteraceae","Taraxacum","officinale","F.H. Wigg.",NA
"63","TRPR","Fabales","Fabaceae","Trifolium","pratense","L.","Red Clover"
"64","TRRE","Fabales","Fabaceae","Trifolium","repense","L.","White Clover"
"65","VEAR","Scrophulariales","Scrophulariaceae","Veronica","arvensis","L.","https://plants.usda.gov/home/plantProfile?symbol=VEAR"
"66","VEST","Lamiales","Verbenaceae","Verbena","stricta","Vent.",NA
"67","VEUR","Lamiales","Verbenaceae","Verbenum","urticifolia","L.",NA
"68","XXXI",NA,NA,NA,NA,NA,NA
