"","season","treatment","site_code","plot","total_abund","spontan_exotic_abund","spontan_nativ_abund","sm_abund","spontan_inv_abund","props_spontan_native","props_sm","props_spontan_exotic","props_spontan_invasive"
"1","Fall","MOW","M4_1",1,36,4,3,22,7,0.08,0.61,0.11,0.19
"2","Fall","MOW","M4_1",3,50,1,17,31,1,0.34,0.62,0.02,0.02
"3","Fall","MOW","M4_1",5,41,8,2,28,3,0.05,0.68,0.2,0.07
"4","Fall","MOW","M4_1",11,74,12,5,56,1,0.07,0.76,0.16,0.01
"5","Fall","MOW","M4_1",13,83,14,50,9,10,0.6,0.11,0.17,0.12
"6","Fall","MOW","M4_1",15,74,9,3,58,4,0.04,0.78,0.12,0.05
"7","Fall","MOW","M4_1",21,75,27,11,34,3,0.15,0.45,0.36,0.04
"8","Fall","MOW","M4_1",23,324,23,100,159,42,0.31,0.49,0.07,0.13
"9","Fall","MOW","M4_1",25,100,8,33,47,12,0.33,0.47,0.08,0.12
"10","Fall","MOW","M4_2",1,35,1,6,24,4,0.17,0.69,0.03,0.11
"11","Fall","MOW","M4_2",3,130,30,12,67,21,0.09,0.52,0.23,0.16
"12","Fall","MOW","M4_2",5,30,2,2,20,6,0.07,0.67,0.07,0.2
"13","Fall","MOW","M4_2",11,229,4,15,164,46,0.07,0.72,0.02,0.2
"14","Fall","MOW","M4_2",13,141,54,6,78,3,0.04,0.55,0.38,0.02
"15","Fall","MOW","M4_2",15,108,19,76,11,2,0.7,0.1,0.18,0.02
"16","Fall","MOW","M4_2",21,48,5,2,39,2,0.04,0.81,0.1,0.04
"17","Fall","MOW","M4_2",23,51,3,0,48,0,0,0.94,0.06,0
"18","Fall","MOW","M4_2",25,23,2,8,7,6,0.35,0.3,0.09,0.26
"19","Fall","MOW","M4_3",1,115,1,6,108,0,0.05,0.94,0.01,0
"20","Fall","MOW","M4_3",3,152,15,20,114,3,0.13,0.75,0.1,0.02
"21","Fall","MOW","M4_3",11,570,0,515,53,2,0.9,0.09,0,0
"22","Fall","MOW","M4_3",13,55,6,5,40,4,0.09,0.73,0.11,0.07
"23","Fall","MOW","M4_3",15,90,2,25,53,10,0.28,0.59,0.02,0.11
"24","Fall","MOW","M4_3",21,227,2,17,179,29,0.07,0.79,0.01,0.13
"25","Fall","MOW","M4_3",23,81,10,3,57,11,0.04,0.7,0.12,0.14
"26","Fall","MOW","M4_3",25,174,1,30,113,30,0.17,0.65,0.01,0.17
"27","Fall","RES","R4_1",1,61,1,4,55,1,0.07,0.9,0.02,0.02
"28","Fall","RES","R4_1",3,85,23,6,52,4,0.07,0.61,0.27,0.05
"29","Fall","RES","R4_1",5,72,4,11,51,6,0.15,0.71,0.06,0.08
"30","Fall","RES","R4_1",11,37,0,3,33,1,0.08,0.89,0,0.03
"31","Fall","RES","R4_1",13,46,7,11,25,3,0.24,0.54,0.15,0.07
"32","Fall","RES","R4_1",15,53,3,13,34,2,0.25,0.64,0.06,0.04
"33","Fall","RES","R4_1",21,53,0,1,52,0,0.02,0.98,0,0
"34","Fall","RES","R4_1",23,32,5,1,24,2,0.03,0.75,0.16,0.06
"35","Fall","RES","R4_1",25,47,1,10,36,0,0.21,0.77,0.02,0
"36","Fall","RES","R4_2",1,28,5,1,19,3,0.04,0.68,0.18,0.11
"37","Fall","RES","R4_2",3,60,3,4,20,33,0.07,0.33,0.05,0.55
"38","Fall","RES","R4_2",5,75,2,12,56,5,0.16,0.75,0.03,0.07
"39","Fall","RES","R4_2",11,134,12,11,14,97,0.08,0.1,0.09,0.72
"40","Fall","RES","R4_2",13,31,1,11,15,4,0.35,0.48,0.03,0.13
"41","Fall","RES","R4_2",15,222,2,75,28,117,0.34,0.13,0.01,0.53
"42","Fall","RES","R4_2",21,73,5,6,2,60,0.08,0.03,0.07,0.82
"43","Fall","RES","R4_2",23,132,15,53,40,24,0.4,0.3,0.11,0.18
"44","Fall","RES","R4_2",25,127,4,14,45,64,0.11,0.35,0.03,0.5
"45","Fall","RES","R4_3",1,28,1,3,20,4,0.11,0.71,0.04,0.14
"46","Fall","RES","R4_3",3,67,25,1,24,17,0.01,0.36,0.37,0.25
"47","Fall","RES","R4_3",5,17,1,4,7,5,0.24,0.41,0.06,0.29
"48","Fall","RES","R4_3",11,137,18,8,103,8,0.06,0.75,0.13,0.06
"49","Fall","RES","R4_3",13,63,6,13,36,8,0.21,0.57,0.1,0.13
"50","Fall","RES","R4_3",15,13,2,4,7,0,0.31,0.54,0.15,0
"51","Fall","RES","R4_3",21,3,0,0,2,1,0,0.67,0,0.33
"52","Fall","RES","R4_3",23,31,6,11,12,2,0.35,0.39,0.19,0.06
"53","Fall","RES","R4_3",25,92,1,4,51,36,0.04,0.55,0.01,0.39
"54","Fall","TIL","T2_1",1,11,10,0,0,1,0,0,0.91,0.09
"55","Fall","TIL","T2_1",3,21,14,1,2,4,0.05,0.1,0.67,0.19
"56","Fall","TIL","T2_1",5,40,37,0,0,3,0,0,0.92,0.07
"57","Fall","TIL","T2_1",11,26,14,9,0,3,0.35,0,0.54,0.12
"58","Fall","TIL","T2_1",13,7,7,0,0,0,0,0,1,0
"59","Fall","TIL","T2_1",15,21,17,2,0,2,0.1,0,0.81,0.1
"60","Fall","TIL","T2_1",21,40,11,0,25,4,0,0.62,0.28,0.1
"61","Fall","TIL","T2_1",23,37,34,0,1,2,0,0.03,0.92,0.05
"62","Fall","TIL","T2_1",25,16,15,0,0,1,0,0,0.94,0.06
"63","Fall","TIL","T2_2",1,35,8,22,2,3,0.63,0.06,0.23,0.09
"64","Fall","TIL","T2_2",3,149,109,0,1,39,0,0.01,0.73,0.26
"65","Fall","TIL","T2_2",5,228,160,22,40,6,0.1,0.18,0.7,0.03
"66","Fall","TIL","T2_2",11,58,6,52,0,0,0.9,0,0.1,0
"67","Fall","TIL","T2_2",13,40,28,12,0,0,0.3,0,0.7,0
"68","Fall","TIL","T2_2",15,92,79,6,6,1,0.07,0.07,0.86,0.01
"69","Fall","TIL","T2_2",21,47,7,40,0,0,0.85,0,0.15,0
"70","Fall","TIL","T2_2",23,37,7,29,0,1,0.78,0,0.19,0.03
"71","Fall","TIL","T2_2",25,8,3,4,0,1,0.5,0,0.38,0.12
"72","Fall","TIL","T2_3",1,16,7,0,3,6,0,0.19,0.44,0.38
"73","Fall","TIL","T2_3",3,70,54,7,9,0,0.1,0.13,0.77,0
"74","Fall","TIL","T2_3",5,114,112,1,0,1,0.01,0,0.98,0.01
"75","Fall","TIL","T2_3",11,68,44,4,20,0,0.06,0.29,0.65,0
"76","Fall","TIL","T2_3",13,21,12,2,6,1,0.1,0.29,0.57,0.05
"77","Fall","TIL","T2_3",15,21,7,12,0,2,0.57,0,0.33,0.1
"78","Fall","TIL","T2_3",21,54,25,5,22,2,0.09,0.41,0.46,0.04
"79","Fall","TIL","T2_3",23,25,7,12,5,1,0.48,0.2,0.28,0.04
"80","Fall","TIL","T2_3",25,37,19,3,13,2,0.08,0.35,0.51,0.05
"81","Spring","MOW","M4_1",1,23,2,1,14,6,0.04,0.61,0.09,0.26
"82","Spring","MOW","M4_1",3,29,8,9,12,0,0.31,0.41,0.28,0
"83","Spring","MOW","M4_1",5,45,8,3,26,8,0.07,0.58,0.18,0.18
"84","Spring","MOW","M4_1",11,68,32,2,24,10,0.03,0.35,0.47,0.15
"85","Spring","MOW","M4_1",13,195,43,14,112,26,0.07,0.57,0.22,0.13
"86","Spring","MOW","M4_1",15,36,17,0,18,1,0,0.5,0.47,0.03
"87","Spring","MOW","M4_1",21,93,11,6,64,12,0.06,0.69,0.12,0.13
"88","Spring","MOW","M4_1",23,114,29,2,19,64,0.02,0.17,0.25,0.56
"89","Spring","MOW","M4_1",25,172,96,60,13,3,0.35,0.08,0.56,0.02
"90","Spring","MOW","M4_2",1,84,13,4,33,34,0.05,0.39,0.15,0.4
"91","Spring","MOW","M4_2",3,65,27,7,19,12,0.11,0.29,0.42,0.18
"92","Spring","MOW","M4_2",5,28,0,0,26,2,0,0.93,0,0.07
"93","Spring","MOW","M4_2",11,44,5,6,17,16,0.14,0.39,0.11,0.36
"94","Spring","MOW","M4_2",13,38,24,3,11,0,0.08,0.29,0.63,0
"95","Spring","MOW","M4_2",15,34,20,6,6,2,0.18,0.18,0.59,0.06
"96","Spring","MOW","M4_2",21,30,18,2,8,2,0.07,0.27,0.6,0.07
"97","Spring","MOW","M4_2",23,36,8,3,24,1,0.08,0.67,0.22,0.03
"98","Spring","MOW","M4_2",25,39,4,8,19,8,0.21,0.49,0.1,0.21
"99","Spring","MOW","M4_3",1,69,3,28,35,3,0.41,0.51,0.04,0.04
"100","Spring","MOW","M4_3",3,94,1,57,34,2,0.61,0.36,0.01,0.02
"101","Spring","MOW","M4_3",5,27,6,7,10,4,0.26,0.37,0.22,0.15
"102","Spring","MOW","M4_3",11,764,16,718,28,2,0.94,0.04,0.02,0
"103","Spring","MOW","M4_3",13,24,4,0,17,3,0,0.71,0.17,0.12
"104","Spring","MOW","M4_3",15,40,6,1,19,14,0.03,0.48,0.15,0.35
"105","Spring","MOW","M4_3",21,114,0,2,91,21,0.02,0.8,0,0.18
"106","Spring","MOW","M4_3",23,36,4,2,24,6,0.06,0.67,0.11,0.17
"107","Spring","MOW","M4_3",25,126,11,56,37,22,0.44,0.29,0.09,0.17
"108","Spring","RES","R4_1",1,68,0,0,68,0,0,1,0,0
"109","Spring","RES","R4_1",3,37,13,2,21,1,0.05,0.57,0.35,0.03
"110","Spring","RES","R4_1",5,30,1,13,14,2,0.43,0.47,0.03,0.07
"111","Spring","RES","R4_1",11,19,2,2,14,1,0.11,0.74,0.11,0.05
"112","Spring","RES","R4_1",13,22,5,2,14,1,0.09,0.64,0.23,0.05
"113","Spring","RES","R4_1",15,47,1,4,41,1,0.09,0.87,0.02,0.02
"114","Spring","RES","R4_1",21,37,1,0,35,1,0,0.95,0.03,0.03
"115","Spring","RES","R4_1",23,16,3,2,11,0,0.12,0.69,0.19,0
"116","Spring","RES","R4_1",25,14,10,2,1,1,0.14,0.07,0.71,0.07
"117","Spring","RES","R4_2",1,19,4,6,8,1,0.32,0.42,0.21,0.05
"118","Spring","RES","R4_2",3,87,0,3,10,74,0.03,0.11,0,0.85
"119","Spring","RES","R4_2",5,170,0,36,70,64,0.21,0.41,0,0.38
"120","Spring","RES","R4_2",11,122,15,8,63,36,0.07,0.52,0.12,0.3
"121","Spring","RES","R4_2",13,114,13,14,46,41,0.12,0.4,0.11,0.36
"122","Spring","RES","R4_2",15,607,5,6,145,451,0.01,0.24,0.01,0.74
"123","Spring","RES","R4_2",21,123,25,3,12,83,0.02,0.1,0.2,0.67
"124","Spring","RES","R4_2",23,199,18,38,48,95,0.19,0.24,0.09,0.48
"125","Spring","RES","R4_2",25,197,4,23,90,80,0.12,0.46,0.02,0.41
"126","Spring","RES","R4_3",1,47,0,7,17,23,0.15,0.36,0,0.49
"127","Spring","RES","R4_3",3,141,43,9,41,48,0.06,0.29,0.3,0.34
"128","Spring","RES","R4_3",5,54,9,0,24,21,0,0.44,0.17,0.39
"129","Spring","RES","R4_3",11,62,12,11,28,11,0.18,0.45,0.19,0.18
"130","Spring","RES","R4_3",13,67,0,5,60,2,0.07,0.9,0,0.03
"131","Spring","RES","R4_3",15,38,4,4,23,7,0.11,0.61,0.11,0.18
"132","Spring","RES","R4_3",21,102,11,4,50,37,0.04,0.49,0.11,0.36
"133","Spring","RES","R4_3",23,76,9,18,35,14,0.24,0.46,0.12,0.18
"134","Spring","RES","R4_3",25,33,1,1,10,21,0.03,0.3,0.03,0.64
"135","Spring","TIL","T2_1",1,2,1,0,0,1,0,0,0.5,0.5
"136","Spring","TIL","T2_1",3,6,5,0,1,0,0,0.17,0.83,0
"137","Spring","TIL","T2_1",5,8,6,1,0,1,0.12,0,0.75,0.12
"138","Spring","TIL","T2_1",11,5,2,1,0,2,0.2,0,0.4,0.4
"139","Spring","TIL","T2_1",21,5,3,0,1,1,0,0.2,0.6,0.2
"140","Spring","TIL","T2_1",23,1,0,0,0,1,0,0,0,1
"141","Spring","TIL","T2_1",25,5,4,1,0,0,0.2,0,0.8,0
"142","Spring","TIL","T2_2",1,3,2,1,0,0,0.33,0,0.67,0
"143","Spring","TIL","T2_2",3,5,3,1,0,0,0.2,0,0.6,0
"144","Spring","TIL","T2_2",5,2,0,1,1,0,0.5,0.5,0,0
"145","Spring","TIL","T2_2",11,2,0,1,1,0,0.5,0.5,0,0
"146","Spring","TIL","T2_2",13,3,0,2,1,0,0.67,0.33,0,0
"147","Spring","TIL","T2_2",15,5,0,4,0,1,0.8,0,0,0.2
"148","Spring","TIL","T2_2",21,6,1,5,0,0,0.83,0,0.17,0
"149","Spring","TIL","T2_2",23,3,0,0,1,2,0,0.33,0,0.67
"150","Spring","TIL","T2_2",25,4,1,3,0,0,0.75,0,0.25,0
"151","Spring","TIL","T2_3",1,1,1,0,0,0,0,0,1,0
"152","Spring","TIL","T2_3",3,3,0,2,0,1,0.67,0,0,0.33
"153","Spring","TIL","T2_3",5,8,0,3,0,5,0.38,0,0,0.62
"154","Spring","TIL","T2_3",11,2,0,0,2,0,0,1,0,0
"155","Spring","TIL","T2_3",13,2,0,1,1,0,0.5,0.5,0,0
"156","Spring","TIL","T2_3",15,1,0,0,0,1,0,0,0,1
"157","Spring","TIL","T2_3",23,2,0,2,0,0,1,0,0,0
