"season","spp_code","Genus","Species","M4_1","M4_2","M4_3","R4_1","R4_2","R4_3","T2_1","T2_2","T2_3","status"
"Spring","ABTH","Abutilon","theophrasti",11,0,0,0,0,0,0,0,0,"E"
"Spring","ACRH","Acalypha","rhomboidea",0,0,0,0,2,0,0,0,0,"N"
"Spring","AGAL","Ageratina","altissima",1,0,0,0,8,0,0,0,0,"N"
"Spring","AGST","Agrostis","stolonifera",0,0,0,0,0,1,0,0,0,"E"
"Spring","AMAR","Ambrosia","artemisiifolia",11,3,0,0,0,6,1,0,0,"N"
"Spring","AMRE","Amaranthus","retroflexus",0,1,0,0,0,0,0,0,0,"E"
"Spring","AMSP","Verbascum","thapsus",97,16,32,0,733,110,0,0,0,"I"
"Spring","ANGE","Andropogon","gerardii",1,2,2,0,0,7,2,2,1,"SM"
"Spring","BAVU","Barbarea","vulgaris",0,2,0,0,0,0,0,0,0,"I"
"Spring","CELO","Cenchrus","longispinus",1,11,90,0,7,0,0,0,0,"N"
"Spring","CHAL","Chenopodium","album",179,87,10,0,32,68,4,0,0,"E"
"Spring","CHSE","Euphorbia","serpyllifolia",1,0,0,0,0,0,0,0,0,"N"
"Spring","CIAR","Cirsium","arvense",1,0,2,0,14,3,0,0,0,"I"
"Spring","CIIN","Cichorium","intybus",1,0,0,0,1,0,0,0,0,"I"
"Spring","COCA","Conyza","canadensis",7,4,6,1,35,11,0,0,1,"N"
"Spring","COLA","Coreopsis","lanceolata",0,0,0,0,0,4,0,0,0,"SM"
"Spring","DACA","Daucus","carota",3,2,6,0,3,3,0,0,0,"I"
"Spring","DECA","Desmodium","canadense",3,0,0,0,0,0,0,0,0,"SM"
"Spring","ERCI","Eragrostis","cilianensis",0,0,0,0,0,0,0,1,0,"E"
"Spring","HEGI","Helianthus","giganteus",11,39,0,0,8,22,0,0,0,"SM"
"Spring","HEHE","Heliopsis","helianthoides",3,3,0,0,3,1,0,0,0,"SM"
"Spring","HETU","Helianthus","tuberosus",0,0,0,0,1,0,0,0,0,"N"
"Spring","HYPE","Hypericum","perforatum",3,0,0,0,0,6,0,0,0,"I"
"Spring","LACO","Lapsana","communis",6,16,19,2,13,0,0,0,0,"E"
"Spring","LIVU","Linaria","vulgaris",18,9,11,0,70,4,0,0,0,"I"
"Spring","LOPE","Lolium","perenne",0,0,0,0,0,0,1,0,0,"E"
"Spring","MEAR","Mentha","arvensis",0,0,0,0,17,0,0,0,0,"N"
"Spring","MELU","Medicago","lupulina",1,0,9,9,18,5,16,3,1,"E"
"Spring","MESA","Medicago","sativa",1,0,0,0,6,0,0,0,0,"E"
"Spring","MOAL","Morus","alba",0,0,0,1,0,0,0,0,0,"E"
"Spring","MOFI","Monarda","fistulosa",2,4,0,1,7,4,0,0,0,"SM"
"Spring","OCRI","Solidago","rigida",0,0,0,0,0,3,0,0,0,"SM"
"Spring","OEBI","Oenothera","biennis",183,31,96,3,1,38,0,0,0,"SM"
"Spring","OXST","Oxalis","stricta",19,17,1,18,64,27,1,16,2,"N"
"Spring","PACA","Panicum","capillare",0,0,0,0,0,0,0,2,5,"N"
"Spring","PAMI","Panicum","miliaceum",0,0,1,0,1,3,0,1,0,"E"
"Spring","PAVI","Panicum","virgatum",4,3,29,0,1,1,0,0,0,"SM"
"Spring","PEMU","Persicaria","maculosa",0,9,0,0,0,0,0,0,0,"E"
"Spring","PLMA","Plantago","major",4,10,1,0,8,2,0,0,1,"I"
"Spring","POAR","Potentilla","argentea",5,6,0,24,2,10,0,0,0,"E"
"Spring","PONO","Potentilla","norvegica",56,3,771,4,0,14,1,0,0,"N"
"Spring","POOL","Portulaca","oleracea",31,0,0,0,12,0,0,2,0,"E"
"Spring","PRVU","Prunella","vulgaris",0,0,0,1,0,0,0,0,0,"N"
"Spring","PYMU","Pycnanthemum","muticum",0,0,0,0,1,1,0,0,0,"N"
"Spring","PYTE","Pycnanthemum","virginianum",7,4,0,0,48,15,0,0,0,"SM"
"Spring","RHTY","Rhus","typhina",1,0,0,3,1,0,0,0,0,"N"
"Spring","RUCR","Rumex","crispus",2,33,11,0,66,8,0,0,0,"I"
"Spring","RUHI","Rudbeckia","hirta",7,9,76,1,52,30,0,0,0,"SM"
"Spring","SIAL","Sinapis","alba",0,0,0,0,0,1,0,0,0,"E"
"Spring","SIAR","Sinapis","arvensis",0,0,0,0,0,1,0,0,0,"E"
"Spring","SIPE","Silphium","perfoliatum",1,0,0,0,0,0,0,0,0,"SM"
"Spring","SONI","Solanum","nigrum",12,0,0,0,0,0,0,0,0,"E"
"Spring","SONU","Sorghastrum","nutans",0,0,0,0,0,0,0,1,2,"SM"
"Spring","SOSP","Solidago","canadensis",80,68,92,214,369,161,0,0,0,"SM"
"Spring","TAOF","Taraxacum","officinale",0,0,6,0,2,0,0,0,0,"I"
"Spring","TRPR","Trifolium","pratense",1,5,5,5,22,28,5,3,5,"I"
"Spring","TRRE","Trifolium","repens",0,0,3,3,6,20,1,0,1,"I"
"Spring","VEAR","Veronica","arvensis",0,0,12,0,0,0,0,0,0,"E"
"Spring","VEST","Verbena","hastata",0,0,0,0,3,2,0,1,0,"SM"
"Spring","VEUR","Verbena","urticifolia",0,1,3,0,1,0,0,0,0,"N"
"Spring","XXXI","Euphorbia","spp.",0,0,0,0,0,0,0,1,0,NA
"Fall","ABTH","Abutilon","theophrasti",7,0,0,0,0,3,0,0,0,"E"
"Fall","ACRH","Acalypha","rhomboidea",0,0,0,0,1,0,0,0,0,"N"
"Fall","AMAR","Ambrosia","artemisiifolia",0,2,0,0,0,1,0,0,0,"N"
"Fall","AMBL","Amaranthus","blitoides",0,0,0,0,0,0,0,1,0,"E"
"Fall","AMRE","Amaranthus","retroflexus",1,0,0,0,0,0,0,0,0,"E"
"Fall","AMSP","Verbascum","thapsus",61,44,50,0,240,62,0,0,0,"I"
"Fall","ANGE","Andropogon","gerardii",9,1,0,1,0,13,0,0,0,"SM"
"Fall","BAVU","Barbarea","vulgaris",0,1,0,0,0,0,0,0,0,"I"
"Fall","BRRA","Brassica","rapa",0,0,0,0,0,1,0,0,0,"E"
"Fall","CABP","Capsella","bursa-pastoris",0,1,0,0,0,0,0,2,0,"E"
"Fall","CAPE","Carex","spp.",0,0,0,1,0,0,0,0,0,NA
"Fall","CAPR","Cardamine","pratensis",0,1,0,0,0,0,0,0,0,"E"
"Fall","CEFO","Cerastium","fontanum",1,4,9,4,2,0,55,47,7,"E"
"Fall","CHAL","Chenopodium","album",63,102,1,14,22,51,46,320,254,"E"
"Fall","CIAR","Cirsium","arvense",0,0,0,0,3,2,0,0,1,"I"
"Fall","CIVU","Cirsium","vulgare",1,2,5,4,3,1,0,0,0,"I"
"Fall","COCA","Conyza","canadensis",182,87,39,25,175,17,0,33,29,"N"
"Fall","COLA","Coreopsis","lanceolata",0,2,0,0,1,1,0,0,0,"SM"
"Fall","COTR","Coreopsis","tripteris",0,3,0,0,2,0,0,0,0,"SM"
"Fall","DACA","Daucus","carota",3,5,4,8,40,3,0,8,8,"I"
"Fall","DECA","Desmodium","canadense",4,2,0,0,0,1,0,0,0,"SM"
"Fall","ECCR","Echinochloa","crus-galli",1,0,11,0,5,1,0,0,0,"E"
"Fall","EPLE","Pennisetum","glaucum",1,0,0,0,0,0,0,0,0,"E"
"Fall","ERAN","Erigeron","annuus",7,8,50,20,7,12,0,0,0,"N"
"Fall","ERCI","Eragrostis","cilianensis",0,1,0,0,0,0,1,0,0,"E"
"Fall","EUGR","Euthamia","graminifolia",0,0,1,0,0,0,0,0,0,"SM"
"Fall","FRVE","Fragaria","vesca",3,0,12,1,0,0,0,0,1,"N"
"Fall","GLHE","Glechoma","hederacea",1,0,0,0,0,0,0,0,0,"I"
"Fall","HEGI","Helianthus","giganteus",1,1,1,0,1,0,0,0,0,"SM"
"Fall","HEHE","Heliopsis","helianthoides",4,14,0,0,0,1,0,0,0,"SM"
"Fall","HYPE","Hypericum","perforatum",3,0,0,0,0,0,0,0,0,"I"
"Fall","LASA","Lactuca","sativa",0,1,1,0,0,0,0,0,0,"E"
"Fall","LASE","Lactuca","serriola",0,0,0,0,0,0,8,5,4,"E"
"Fall","LECA","Leonurus","cardiaca",1,0,0,0,0,0,0,0,0,"I"
"Fall","LIVU","Linaria","vulgaris",0,3,11,2,12,5,0,0,0,"I"
"Fall","MELU","Medicago","lupulina",8,2,2,5,8,1,43,1,10,"E"
"Fall","MOAL","Morus","alba",1,0,0,0,0,1,0,0,3,"E"
"Fall","MOFI","Monarda","fistulosa",175,163,28,17,67,20,0,0,0,"SM"
"Fall","MOVE","Mollugo","verticillata",1,0,0,0,0,0,0,0,0,"E"
"Fall","OEBI","Oenothera","biennis",130,23,155,9,5,21,25,49,75,"SM"
"Fall","OXST","Oxalis","stricta",25,28,6,12,4,8,10,147,16,"N"
"Fall","PACA","Panicum","capillare",1,0,0,1,0,1,0,0,0,"N"
"Fall","PAVI","Panicum","virgatum",2,0,0,0,0,0,0,0,0,"SM"
"Fall","PEMU","Persicaria","maculosa",0,1,0,0,0,0,0,26,0,"E"
"Fall","PIEC","Picris","echioides",0,1,0,0,0,0,0,0,0,"E"
"Fall","PIHI","Picris","hieracioides",0,0,1,0,0,0,0,0,0,"E"
"Fall","PLMA","Plantago","major",1,2,0,0,6,1,2,33,1,"I"
"Fall","POAR","Potentilla","argentea",1,4,12,3,1,2,0,0,0,"E"
"Fall","POAV","Polygonum","aviculare",0,0,0,0,0,0,0,7,0,"N"
"Fall","PONO","Potentilla","norvegica",4,1,513,1,0,9,2,0,0,"N"
"Fall","POOL","Portulaca","oleracea",1,1,0,0,11,0,0,2,0,"E"
"Fall","PORE","Potentilla","recta",1,9,3,1,0,3,0,2,0,"I"
"Fall","PYTE","Pycnanthemum","virginianum",1,0,0,0,4,2,2,0,0,"SM"
"Fall","RARA","Raphanus","raphanistrum",0,0,0,0,0,0,0,0,1,"E"
"Fall","RUAL","Rubus","allegheniensis",0,1,0,0,0,0,0,0,0,"N"
"Fall","RUCR","Rumex","crispus",7,20,8,4,97,0,0,6,0,"I"
"Fall","RUHI","Rudbeckia","hirta",50,134,456,88,60,155,1,0,0,"SM"
"Fall","SCSC","Schizachyrium","scoparium",2,0,0,0,0,0,0,0,0,"SM"
"Fall","SIPE","Silphium","perfoliatum",0,0,0,0,0,10,0,0,0,"SM"
"Fall","SOAR","Sonchus","arvensis",0,0,0,0,0,0,1,0,1,"E"
"Fall","SONE","Solidago","nemoralis",1,0,0,0,0,0,0,0,0,"N"
"Fall","SONI","Solanum","nigrum",1,0,0,0,0,0,0,0,1,"E"
"Fall","SONU","Sorghastrum","nutans",0,0,0,0,0,1,0,0,0,"SM"
"Fall","SOOL","Sonchus","oleraceus",0,1,0,0,0,0,4,2,6,"E"
"Fall","SOSP","Solidago","canadensis",66,115,76,247,98,37,0,0,3,"SM"
"Fall","STME","Stellaria","media",1,0,0,0,0,0,1,1,0,"E"
"Fall","TAOF","Taraxacum","officinale",0,0,0,0,1,0,3,1,2,"I"
"Fall","TRPR","Trifolium","pratense",2,3,8,0,2,4,15,1,3,"I"
"Fall","TRRE","Trifolium","repens",1,1,0,0,1,0,0,0,0,"I"
"Fall","TSCA","Tsuga","canadensis",1,0,1,0,0,0,0,0,0,"N"
"Fall","VEAG","Veronica","agrestis",2,0,0,1,0,0,0,0,0,"E"
"Fall","VEAR","Veronica","arvensis",16,0,0,17,0,0,0,0,0,"E"
"Fall","VEST","Verbena","hastata",0,0,0,0,1,0,0,0,0,"SM"
"Fall","VICR","Vicia","cracca",1,0,0,0,2,0,0,0,0,"I"
